region,abbreviation,genus,species,sub.spp,common.name,functional.group,reproduction,conservation.status,rarity
Carrizo,,Dipodomys,californicus,,Kangroo rat,,least concerned,
Carrizo,,Vulpes,macrotis,,Kit fox,,least concerned,
Carrizo,,Otospermophilus,beecheyi,,Ground squirrel,,least concerned,
Carrizo,,Sylvilagus,audubonii,,Desert cottontail rabbit,,least concerned,
Carrizo,,Lepus,californicus,,Black-tailed jackrabbit,,least concerned,
Carrizo,,,,lizard
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
Carrizo,,,,,,,,,
